id_efectivo,id_especialidad,id_unidad_actual,id_rango_actual,nombre,ci,fecha_nacimiento,genero,departamento_origen,fecha_ingreso,estado,salario_mensual
1,19,28,1,Ramos Mendoza Carlos,2719583 - lp,01-03-1998,masculino,La  Paz,17-04-2017,activo,BS 2240.42
2,12,39,5,Villca García Oscar Alejandro,C.I. 2622631 LP,1988/01/24,Hombre,L.P.,2013/09/04,baja,"Bs.3,661.53"
3,6,24,5,  Nina Torrez Verónica  ,14994050CB,22/04/1991,femenino,Cbba,20131222,activo.,"Bs. 3,924.41"
4,7,37,1,Condori\tArce José,CI: 5491946,21/04/2003,HOMBRE,Cbba.,21-07-2024,act,"Bs 2.044,82"
5,20,5,8,Saavedra   Rodríguez   Rolando   José,3684052LP,1994/07/20,Masc.,La  Paz,2019/09/09,DADO DE BAJA,5762.82
6,10,41,1,Pérez Castillo Armando,CI: 9517485,12/03/2001,Hombre,Or,25/09/2020,R,"2,476.21"
7,18,11,10,Cusi Suárez Rolando,3.154.051 OR,1992/09/28,Hombre,oruro,18-04-2016,EN ACTIVIDAD,6870.24
8,8,5,1,  Rivera Mendoza Wilson  ,12875600-lp,06-03-1998,masculino,L.P.,2020/04/09,act,"Bs. 2,011.40"
9,2,26,1,Saavedra #Ticona Franz,11963163-LP,20030208,masculino,LA PAZ,18/04/2022,activo.,"2,148.44"
10,13,1,2,Calle Cruz Elizabeth Natalia,1983738 - tj,05-26-2004,fem,Tj,14/05/2025,activo,2672.88
11,17,6,1,Castillo Machaca José Nelson,3641282-TJ,02-20-2000,HOMBRE,Tarija,11-28-2018,ACTV,1949.13
12,15,21,4,Ramos Pérez Pablo,C.I. 12269091 CB,15-01-1982,Hombre,Cbba,18/02/2001,activo.,"Bs.3,160.50"
13,4,7,3,Chura Colque Valeria Gladys,3253031-LP,03-09-1997,F,LA PAZ,2019/10/07,A,2733.24
14,3,45,1,Escobar #Canaviri Rubén Iván,C.I. 1162230 CB,2000/09/02,M,Cbba,18/10/2020,en actividad,"Bs.1,954.11"
15,6,27,2,Paco\tGutiérrez Erick,4971793,1998/03/24,hombre,Beni,26-07-2018,en actividad,"Bs. 2,676.29"
16,9,23,1,Colque Rojas Edwin,5674183-cb,27/11/2004,HOMBRE,Cbba.,04/01/2024,rsv,"2,042.40 Bs"
17,12,28,2,Canaviri #Paredes Jhonny Pedro,14531007-LP,11-11-1999,hombre,La  Paz,06-22-2021,en actividad,"2,664.82 Bs"
18,10,14,4,sánchez poma hugo,1006810-sc,1993/10/20,MASCULINO,Sta Cruz,15/08/2016,activo.,"Bs.3,107.98"
19,2,16,1,Sánchez Mendoza Alejandro,3.472.189 PT,10-28-2005,MASCULINO,POTOSI,2023/08/14,RESERVA,BS 2249.94
20,5,30,9,CHOQUE ESCOBAR EDGAR,3036059-lp,09-18-1998,MASCULINO,LaPaz,08-20-2021,en actividad,"6,482.12"
21,9,22,3,Torrez\tHerrera Rolando,5.793.722 LP,03/09/1990,masculino,LP,08/03/2010,act,"Bs 2.687,52"
22,10,49,5,CUSI SALAZAR ANA,1098919 - cb,1992/07/18,FEMENINO,Cbba.,20130808,ACTV,"3,783.63 Bs"
23,9,25,1,Paredes López Pablo Enrique,4.048.907 TJ,15-04-2003,masculino,Tarija,2023/06/25,reserva,2053
24,1,40,2,Condori Cusi Cristian,5148725LP,05/04/2000,HOMBRE,LA PAZ,2021/11/04,Act.,2288
25,3,38,2,Machaca Nina Andrés,12995956,02-23-2001,Hombre,Cochabamba,11-20-2021,Activo,2722.17
26,14,12,2,Alanoca #Cabrera Franz,C.I. 12866669 PT,26-10-2002,Masculino,Potosi,15-08-2024,en actividad,BS 2673.27
27,11,18,3,Vargas Vásquez Ramiro Marco,14385405 - lp,1988/09/01,masculino,LaPaz,2009/02/08,ACTIVO,"Bs. 2,989.72"
28,12,45,5,Calle Escobar Pablo,8138769-sc,1994/05/10,masc,SANTA CRUZ,2016/04/04,A,BS 3589.72
29,10,1,2,Orellana Rojas Javier,CI: 7054579,02-05-2000,HOMBRE,Cbba,09-10-2018,EN ACTIVIDAD,"Bs 2.219,71"
30,5,10,1,Poma Vásquez Nelson Luis,11560346LP,02-08-2002,masculino,La  Paz,25-09-2020,act,"Bs 2.263,44"
31,6,16,1,Cruz #Alanoca Adrián Alejandro,12080145-LP,2000/09/03,masculino,LA PAZ,2019/01/14,A,BS 2261.92
32,3,4,2,Suárez Mendoza Gonzalo,5456573-sc,05-20-2000,masculino,Sta. Cruz,15/05/2022,activo,"Bs.- 2,641.51"
33,19,3,3,Orellana Saavedra Carlos Rodrigo,1348050-sc,08-17-1985,hombre,SC,06/05/2010,BAJA,"2,942.3"
34,3,21,9,Poma Zenteno Javier,1.615.675 OR,04/06/1992,Hombre,Or.,2016/09/27,Bja,BS 6074.33
35,6,20,3,callisaya vásquez javier,11570019,18-01-1997,masculino,La  Paz,02-08-2021,dado de baja,"Bs 3.371,64"
36,3,18,2,Nina Rojas Marcelo,9526867 - bn,26-06-2004,masculino,Bn.,01-10-2024,Activo,2753.11
37,2,21,7,  Callisaya Ramos Marco  ,4918527-sc,26/12/1995,HOMBRE,SC,22-07-2019,EN ACTIVIDAD,5018.91
38,11,40,3,Tito Gutiérrez Mario,C.I. 14111818 LP,11-03-1992,Masc.,La Paz,2015/11/28,en actividad,3408.73
39,6,45,9,García\tCusi Patricia,2.686.231 SC,1992/01/02,FEMENINO,SANTA CRUZ,10/01/2015,ACTV,"5,679.4"
40,3,47,8,Sánchez Flores Gonzalo,4.411.176 LP,22/03/1991,masculino,LP,16-01-2014,en actividad,BS 4575.87
41,15,19,1,Alanoca\tPérez Wilson Marcelo,C.I. 12187730 CB,15/02/2000,hombre,Cbba.,10/10/2020,act,2150.04
42,20,48,1,Torrez Mamani Teresa Viviana,12505806 - sc,2005/05/25,FEMENINO,Sta Cruz,26/10/2023,activo,"Bs 2.290,17"
43,18,24,2,martínez paco armando javier,4368777,2002/03/09,masc,CBBA,2023/05/24,en reserva,2728
44,19,25,3,RODRÍGUEZ MONTAÑO JORGE RAÚL,13566329 - cb,1991/02/22,masculino,CBBA,01/08/2012,act,3398.85
45,18,27,6,VALDA SUÁREZ ROLANDO FREDDY,8610879-lp,24/12/1998,Hombre,L.P.,07-21-2018,en actividad,"4,186.58"
46,4,30,2,  Tito Apaza Raúl  ,CI: 5628522,07/11/1999,Masc.,L.P.,01-02-2021,en actividad,"Bs 2.307,68"
47,4,43,2,Gutiérrez   López   María,14396838SC,03-01-1998,Femenino,Sta. Cruz,04-19-2018,Activo,"2,255.68 Bs"
48,16,26,1,Ochoa Sánchez Antonio Pablo,1522621,04/11/2004,HOMBRE,cochabamba,2025/12/15,act,1923
49,14,29,2,Blanco #Callisaya David,11984260-LP,20010711,masculino,LA PAZ,14/07/2022,ACTIVO,2359.41
50,14,23,2,Rivera\tEscobar Daniel,12240957 - sc,02/12/2004,Masculino,SC,10-10-2024,Activo,2558.44
51,20,43,1,Aliaga   Zenteno   Franz,C.I. 12324230 SC,01-06-2002,hombre,Santa Cruz,25/12/2022,activo,2094.28
52,2,10,1,LAURA SÁNCHEZ MARCELO,14033138-SC,2000/10/02,Masculino,SC,05-15-2018,A,"Bs.2,190.54"
53,5,49,2,CHAMBI CHOQUE ANDRÉS JORGE,6056977 - lp,05-11-2002,Hombre,LA PAZ,01-16-2020,activo,"2,256.77 Bs"
54,16,20,4,zenteno rivera sergio gonzalo,C.I. 12797721 PN,1985/11/06,Masc.,PANDO,20080723,Act.,"Bs. 3,404.10"
55,4,26,4,SALAZAR POMA MARCO,8007741,06-06-1980,hombre,santa cruz,27/08/2004,A,BS 3259.09
56,12,47,5,Rodríguez Ochoa Luis,14022948,19840404,masculino,Sta. Cruz,2004/05/07,ACTV,"3,404.27 Bs"
57,15,5,2,Martínez #Saavedra Mauricio,6.303.930 PN,21/08/2005,H,Pando,2024/05/19,ACTIVO,2505.50
